"高级爬虫工程师（java/python/c）","http://jobs.zhaopin.com/267406113250408.htm","15000-30000元/月xa0","北京-西城区","3-5年","本科","高级软件工程师"
"python工程师-大数据方向","http://jobs.zhaopin.com/434383686250128.htm","15000-30000元/月xa0","北京-海淀区","3-5年","大专","软件研发工程师"
"python开发","http://jobs.zhaopin.com/596626722253321.htm","10001-15000元/月xa0","北京-海淀区","1-3年","大专","软件研发工程师"
"OpenStack研发工程师(python)","http://jobs.zhaopin.com/120163763250574.htm","20001-30000元/月xa0","北京-石景山区","3-5年","本科","系统架构设计师"
"python","http://jobs.zhaopin.com/CC483542232J00039368810.htm","10001-15000元/月xa0","北京","3-5年","大专","软件工程师"
"Python开发工程师","http://jobs.zhaopin.com/187952314251978.htm","10001-15000元/月xa0","北京","1-3年","大专","互联网软件工程师"
"Python开发","http://jobs.zhaopin.com/000199470253358.htm","10001-15000元/月xa0","北京-朝阳区","1-3年","本科","软件研发工程师"
"python爬虫讲师","http://jobs.zhaopin.com/393263380250204.htm","8000-15000元/月xa0","北京-昌平区","不限","大专","IT技术/研发经理/主管"
"Python工程师","http://jobs.zhaopin.com/131304197251386.htm","15001-20000元/月xa0","北京-东城区","不限","本科","高级软件工程师"
"Java爬虫，Python爬虫亦可","http://jobs.zhaopin.com/321225987250003.htm","20001-30000元/月xa0","北京-朝阳区","1-3年","本科","其他"
"Python Web 开发工程师","http://jobs.zhaopin.com/483984531250041.htm","15001-20000元/月xa0","北京","1-3年","本科","软件研发工程师"
"Python开发工程师","http://jobs.zhaopin.com/246382518255024.htm","10000-15000元/月xa0","北京-东城区","1-3年","硕士","软件工程师"
"python开发工程师","http://jobs.zhaopin.com/000320988254118.htm","10000-15000元/月xa0","北京","3-5年","大专","高级软件工程师"
"Python开发工程师","http://jobs.zhaopin.com/464669316250766.htm","15000-25000元/月xa0","北京","3-5年","本科","软件工程师"
"Python爬虫研发(职位编号：xingyuanauto000752)","http://jobs.zhaopin.com/457724735250570.htm","15000-25000元/月xa0","北京","1-3年","本科","算法工程师"
"python开发工程师","http://jobs.zhaopin.com/619323221250184.htm","10001-15000元/月xa0","北京-大兴区","不限","本科","软件工程师"
"Python文案专员","http://jobs.zhaopin.com/CC390261416J00039931009.htm","8000-15000元/月xa0","北京","1-3年","大专","软件研发工程师"
"Python研发工程师","http://jobs.zhaopin.com/313785038250821.htm","15000-30000元/月xa0","北京-海淀区","3-5年","大专","软件研发工程师"
"实习Python开发工程师","http://jobs.zhaopin.com/325122338250104.htm","6001-8000元/月xa0","北京","不限","不限","实习生"
"Python开发工程师","http://jobs.zhaopin.com/175270615250194.htm","10001-15000元/月xa0","北京-通州区","3-5年","不限","软件研发工程师"
